weight-before,cookie-thickness,cookie-length,cookie-width,status
5.51,7.88,40.38,39.82,Out
5.72,8.6,39.92,39.7,Attention
5.57,8.27,39.46,39.34,Attention
5.68,8.28,40.28,39.82,Attention
5.19,8.61,39.06,39.62,Attention
5.59,8.41,40.36,39.9,Attention
5.55,8.54,40.24,39.76,Attention
5.63,8.45,39.76,39.68,Attention
5.23,8.51,39.9,39.64,Attention
5.69,8.49,39.86,39.74,Attention
5.43,8.39,39.84,39.8,Attention
5.7,8.45,40.14,39.76,Attention
5.2,8.62,39.9,39.58,Attention
5.49,8.54,40.26,39.66,Attention
5.69,8.67,40.48,40.1,Attention
5.76,8.49,40.08,40.0,Attention
5.73,8.74,40.5,39.94,Attention
5.73,8.45,39.18,39.44,Attention
5.67,8.38,40.16,39.76,Attention
5.47,8.23,40.26,39.82,Attention
5.74,8.56,39.92,39.84,Attention
5.48,8.48,39.66,39.7,Attention
5.75,8.51,40.1,39.68,Attention
5.16,8.54,38.86,39.42,Attention
5.7,8.72,40.42,40.02,Attention
5.44,8.37,39.7,39.38,Attention
5.44,8.26,39.54,39.42,Attention
5.72,8.66,40.08,39.86,Attention
5.39,8.27,39.56,39.42,Attention
5.73,8.52,40.04,39.98,Attention
5.4,8.3,39.74,39.38,Attention
5.67,8.51,39.86,39.86,Attention
5.67,8.61,40.36,39.98,Attention
5.75,8.43,40.32,40.14,Attention
5.49,8.34,39.92,39.58,Attention
5.7,8.77,40.06,39.78,Attention
5.5,8.42,39.84,39.54,Attention
5.45,8.21,40.28,40.12,Attention
5.19,8.49,39.9,39.78,Attention
5.19,8.53,40.1,39.82,Attention
5.26,8.52,39.7,39.62,Attention
5.67,8.22,39.98,40.24,Attention
5.61,8.4,39.88,39.68,Attention
5.55,8.27,39.56,39.02,Attention
5.71,8.33,40.3,39.94,Attention
5.19,8.39,39.72,39.62,OK
5.47,8.38,40.1,39.52,OK
5.68,8.72,40.12,40.02,OK
5.55,8.55,39.72,39.58,OK
5.14,8.37,39.62,39.48,OK
5.15,8.51,39.06,39.3,OK
5.22,8.55,40.3,40.08,OK
5.71,8.52,40.14,39.8,OK
5.23,8.65,39.94,39.74,OK
5.24,8.55,39.8,39.6,OK
5.76,8.54,40.26,40.16,OK
5.48,8.47,39.7,39.54,OK
5.27,8.46,39.34,39.46,OK
5.7,8.51,40.14,40.08,OK
5.28,8.27,39.94,40.02,OK
5.71,8.5,40.26,39.78,OK
5.64,8.32,40.42,40.12,OK
5.22,8.45,39.36,39.52,OK
5.72,8.45,40.26,39.9,OK
5.65,8.3,40.08,39.92,OK
5.44,8.25,39.72,39.54,OK
5.73,8.51,39.86,39.52,OK
5.66,8.53,40.56,40.1,OK
5.25,8.45,39.26,39.5,OK
5.75,8.6,40.42,39.96,OK
5.68,8.48,40.66,40.08,OK
5.26,8.64,40.26,40.06,OK
5.41,8.46,40.02,39.78,OK
5.13,8.32,39.9,39.9,OK
5.7,8.62,39.86,39.88,OK
5.49,8.3,39.46,39.48,OK
5.79,8.56,40.04,39.94,OK
5.72,8.79,40.22,39.88,OK
5.65,8.57,40.22,39.94,OK
5.09,8.43,39.5,39.42,OK
5.74,8.48,39.68,39.68,OK
5.67,8.72,39.98,39.84,OK
5.46,8.42,39.4,39.86,OK
5.18,8.43,39.7,39.58,OK
5.19,8.62,39.68,39.88,OK
5.7,8.31,40.7,40.34,OK
5.27,8.63,39.92,39.94,OK
5.14,8.46,39.98,39.7,OK
5.73,8.56,40.56,40.12,OK
5.74,8.49,40.96,40.2,OK
5.75,8.43,40.74,40.1,OK
5.25,8.68,39.2,39.56,OK
5.47,8.29,39.5,39.52,OK
5.47,8.35,39.9,39.36,OK
5.62,8.31,40.08,39.54,OK
5.48,8.33,39.6,39.6,OK
5.8,8.44,39.94,39.78,OK
5.74,8.46,39.64,39.66,OK
5.76,8.59,40.36,39.94,OK
5.7,8.67,39.56,39.78,OK
5.63,8.45,40.22,39.68,OK
5.19,8.37,39.46,39.64,OK
5.72,8.37,40.18,39.74,OK
5.28,8.43,40.18,39.8,OK
5.68,8.6,40.6,39.96,OK
5.48,8.59,39.82,40.0,OK
5.68,8.52,39.84,39.7,OK
5.15,8.58,39.18,39.22,OK
5.46,8.54,39.98,39.46,OK
5.39,8.54,40.04,39.62,OK
5.79,8.54,40.0,39.68,OK
5.72,8.33,40.18,40.16,OK
5.76,8.55,40.42,40.2,OK
5.36,8.3,39.92,39.42,OK
5.13,8.31,40.08,40.14,OK
5.53,8.41,39.96,39.76,OK
5.02,8.47,39.52,39.58,OK
5.55,8.7,40.3,40.12,Attention
